"Asgardian","English"
"a","topic (of a sentence) | subject (of a sentence)"
"aha","laugh | laughing | laughter"
"aho","salt (condiment) | sodium chloride"
"ainu","that (close to neither speaker nor listener) | that (over there)"
"aiso","fish"
"aki","life | living | being alive"
"akoina","pig | swine"
"akue","fire"
"ama","motion away from referent | off, away, thither"
"ano","an | an unspecified member of a class | one | some"
"api","cause"
"aro","lion"
"arote","encounter | encountering | meeting"
"ase","shared referent | the one (we all know about) | the"
"ata","flight | flying"
"aue","0 | zero"
"auna","adding an item | furnishing with something"
"aura","wolf"
"e","patient / object"
"ehari","fun | amusement | entertainment"
"eke","pedestal | table"
"ema","transportation | vehicle"
"emasa","star (space)"
"emoto","beneficiary | one for whom something is done"
"epa","incoming action | what one ""has done"" to them | what happens to someone"
"esi","1 | one"
"eue","worm"
"haki","number (in sequence) | position (in line)"
"hana","color"
"haru","malice | meanness"
"hasa","2 | two"
"hatu","collection | set | unordered group"
"hau","country | nation-state | state"
"hita","dislike"
"i","1st person singular | I | me | the speaker"
"ihe","fairy tale | fantasy | make-believe"
"ihu","cold | coldness"
"iko","frog (animal)"
"iku","good | goodness"
"imate","comfort | contentment | ease, being at ease | satisfaction"
"ime","-ness | state of being"
"ioni","height | tallness"
"iori","donkey"
"ipake","what almost happens"
"ipo","tree"
"ira","experiencer (of a sensory or emotional state)"
"iri","3 | three"
"irio","dwelling | living (at a place) | residence | residing"
"ita","information | knowledge | what one knows"
"itato","city | town"
"itera","Mouse | Rat | Rodent"
"ka","conjunction | and | also | equal counterpart / companion"
"kahu","spice (food)"
"kama","motion towards referent | hither"
"kane","now | the present time | present"
"kanote","""getting"" something | making sense of something | comprehension | understanding"
"kanotu","missing (emotion) | desiring the presence of something (which is no longer around)"
"kape","book | collection of words and illustration | text"
"karopo","continent"
"karu","room | specialized area of building (for some purpose)"
"kasa","crashing sound | smashing sound"
"kasi","inclusive disjunction element | and/or"
"kata","fashion | manner in which something is done | style"
"katu","the current one | the current instance | this one (here/now)"
"kaura","animal | living creature"
"kause","sorrow | regret"
"ke","contrast | concession | but"
"kekere","chicken | rooster | hen"
"keme","parasitism | mooching | exploitation | infestation"
"kemi","emotion | feeling"
"kepa","collection | group | plural"
"keperu","strangeness | unusualness | weirdness"
"kepo","home"
"kerima","biting | gnawing | chewing"
"keru","fear | fright"
"kesesi","culture | typical way of acting or behaving in a given society or locale"
"ketuki","female (sex)"
"kia","person | sentient entity (includes human beings)"
"kika","crunching sound"
"kina","job | function | role (short-term)"
"kinati","close side | near side"
"kino","what would be the case (if something else were true)"
"kio","bigness | size"
"kipana","apple"
"kire","pause | an action that temporarily stops"
"kisi","language | system of communication with speech, gesture, or writing"
"kitate","excitement"
"kituke","natural cause | natural force"
"kiuki","area | center for a specific task | station"
"ko","4 | four"
"koke","goat | //Capra// (genus)"
"kokesa","general instance(s)"
"koko","crow (bird) | corvid"
"komanu","the next one | what comes after this one"
"komi","child | young member of species"
"komose","newness | novelty | recentness"
"kona","an instance? | is it an instance / thing?"
"kopu","back | back side | behind | space behind something"
"kopua","thick | thickness | minimum dimension (width) or diameter of an object"
"kore","lack | none"
"koro","consuming | consumption | eating (of solid food) | ingesting | ingestion"
"korori","tongue (organ in mouth)"
"kose","east"
"kota","one Earth orbit around the sun | year"
"kua","what? | which?"
"kuakue","duck"
"kuho","concern | worry"
"kuke","phrase"
"kupo","root | word"
"kuposu","noodle(s)"
"kura","ordered sequence (of numbers) | ordered set"
"kuro","device (electronic)"
"kuta","another instance (of the same type) | one more"
"kute","inside | interior"
"ma","reversal | undoing"
"mai","theme | one that undergoes an action or event, but does not change state"
"maki","space around something | surroundings"
"makona","south"
"maku","sadness | sorrow"
"mana","earth | ground"
"mane","direction | heading | orientation | vector | where something is pointing or going towards"
"manu","amount | number | quantity"
"mau","material | stuff | substance | what something is made out of"
"maumo","bell"
"minasi","freedom | lack of restraint"
"mira","water (liquid)"
"miru","reviewing | revising | studying (academic)"
"mitapi","problem | trouble"
"moi","also | too"
"moia","aid | assistance | help"
"moku","full | fullness"
"mora","oneself | one's own | self"
"moru","response | answer"
"mote","5 | five"
"moti","strength | strong"
"motomoto","and others | et cetera | miscellaneous"
"mu","none | zero amount"
"muma","cattle | cow | bovine | bull"
"mune","blood"
"mupisi","quitting | stopping (before completion)"
"muraku","sex (biological)"
"murate","awkwardness | embarrassment | discomfort | unease"
"mure","result | therefore | what happens because of something else"
"muta","excessive amount | too much of something"
"muto","space | universe"
"n","= | equational marker"
"na","equivalent | identity | what something is"
"nai","no | not | not an instance"
"nakoro","not too much | an amount under the limit (but in a good way)"
"nani","affinity | a liking for something"
"napa","left (side)"
"napesi","definition | meaning | what a word means"
"napu","impetus | motivation | past event which causes one to perform the current action | reason | why one does something"
"nari","monster | beast"
"natari","spouse (cultural or legal recognition)"
"nato","foot (body part)"
"natopi","male (sex)"
"ne","{subordinate equality particle}"
"nekumo","instance | occurrence | repetition"
"nena","horse | equine"
"nepi","point in time | time | when something happens"
"neta","end | ending | stop | stopping"
"nima","I | me | this | the entity currently speaking or communicating"
"nimia","resume | resumption | action or state that starts back up"
"nio","6 | six"
"niroi","the time during something | the time ""in the middle"" of something"
"noki","space among / amidst | space between"
"nota","earlier time | past | time before now"
"noto","length | longness"
"nuko","interrogative | question"
"nuta","eye"
"oha","net (for catching)"
"oho","greetings | hello"
"ohou","greeting(s) | hello"
"oka","alarm | alarm bell"
"okahe","horn (of animal)"
"okare","what is ""as if"" it happens"
"okiu","Lion"
"oko","curiosity | interest | wonder"
"oma","canine | dog"
"ome","7 | seven"
"ona","instance (of a substance) | unit"
"onase","near past | what just happened"
"onua","ox (animal)"
"opari","what used to happen | what used to be the case"
"opia","tortoise | turtle | terrapin"
"ora","quickness | speed | swiftness"
"orata","all instances (collectively)"
"ori","wideness | width"
"oro","wheel"
"osa","the aforementioned | that which was just said"
"osi","condition | prerequisite | the ""if"" in an ""if-then"" statement"
"otesa","generosity | kindness"
"otine","sky"
"oto","part of a whole | portion"
"pa","attribute | characteristic | quality"
"paku","agent | doer | one responsible for an action or state"
"pakune","replacement | substitute"
"pamai","night (opposite of day)"
"pami","what is already the case | what already happens / happened"
"papara","sheep"
"papete","giving | transferring something to someone"
"pare","future | what is to come"
"pari","the act of writing | writing"
"paru","point along a journey | point along which, or through which, one travels | waypoint"
"paruma","engine | combustion engine"
"parune","entry (in a list or collection) | list item"
"pasi","causing to be seen | displaying | showing"
"pasote","child | offspring"
"pata","washing"
"pati","north"
"pau","great amount of something | large amount of something | lot(s) of something | many | much"
"peka","tooth"
"pepa","a greater amount | more"
"pere","controlling | having control of something"
"petu","beginning | starting"
